query,facet,RecipeId,URL,score
pasta bolognese,,208899,http://localhost:3000/recipe/208899,2
pasta bolognese,,61183,http://localhost:3000/recipe/61183,3
pasta bolognese,,202933,http://localhost:3000/recipe/202933,2
pasta bolognese,,440499,http://localhost:3000/recipe/440499,3
pasta bolognese,,270234,http://localhost:3000/recipe/270234,3
pasta bolognese,,285382,http://localhost:3000/recipe/285382,5
pasta bolognese,,537134,http://localhost:3000/recipe/537134,3
pasta bolognese,,133717,http://localhost:3000/recipe/133717,2
pasta bolognese,,162950,http://localhost:3000/recipe/162950,2
pasta bolognese,,222777,http://localhost:3000/recipe/222777,4
pasta bolognese,,383280,http://localhost:3000/recipe/383280,3
pasta bolognese,,213298,http://localhost:3000/recipe/213298,2
pasta bolognese,,417502,http://localhost:3000/recipe/417502,2
pasta bolognese,,181001,http://localhost:3000/recipe/181001,2
pasta bolognese,,155693,http://localhost:3000/recipe/155693,3
pasta bolognese,,308928,http://localhost:3000/recipe/308928,2
pasta bolognese,,501685,http://localhost:3000/recipe/501685,2
pasta bolognese,,380642,http://localhost:3000/recipe/380642,2
pasta bolognese,,532314,http://localhost:3000/recipe/532314,2
pasta bolognese,,506144,http://localhost:3000/recipe/506144,3
pasta bolognese,,301812,http://localhost:3000/recipe/301812,2
pasta bolognese,,76432,http://localhost:3000/recipe/76432,2
pasta bolognese,,394112,http://localhost:3000/recipe/394112,3
pasta bolognese,,496398,http://localhost:3000/recipe/496398,2
pasta bolognese,,527283,http://localhost:3000/recipe/527283,2
pasta bolognese,,456461,http://localhost:3000/recipe/456461,3
pasta bolognese,,419666,http://localhost:3000/recipe/419666,2
pasta bolognese,,437958,http://localhost:3000/recipe/437958,1
pasta bolognese,,109395,http://localhost:3000/recipe/109395,3
pasta bolognese,,521125,http://localhost:3000/recipe/521125,2
pasta bolognese,,490183,http://localhost:3000/recipe/490183,1
pasta bolognese,,331650,http://localhost:3000/recipe/331650,3
pasta bolognese,,34180,http://localhost:3000/recipe/34180,4
pasta bolognese,,295694,http://localhost:3000/recipe/295694,3
pasta bolognese,,85119,http://localhost:3000/recipe/85119,3
pasta bolognese,,177994,http://localhost:3000/recipe/177994,2
pasta bolognese,,522457,http://localhost:3000/recipe/522457,2
pasta bolognese,,15500,http://localhost:3000/recipe/15500,4
pasta bolognese,,306728,http://localhost:3000/recipe/306728,2
pasta bolognese,,377967,http://localhost:3000/recipe/377967,4
pasta bolognese,,458861,http://localhost:3000/recipe/458861,2
pasta bolognese,,99438,http://localhost:3000/recipe/99438,5
pasta bolognese,,29556,http://localhost:3000/recipe/29556,3
pasta bolognese,,533453,http://localhost:3000/recipe/533453,2
pasta bolognese,,58488,http://localhost:3000/recipe/58488,4
pasta bolognese,,535697,http://localhost:3000/recipe/535697,3
pasta bolognese,,540880,http://localhost:3000/recipe/540880,2
pasta bolognese,,68510,http://localhost:3000/recipe/68510,2
pasta bolognese,,439263,http://localhost:3000/recipe/439263,3
pasta bolognese,,474008,http://localhost:3000/recipe/474008,3
pasta bolognese,,424858,http://localhost:3000/recipe/424858,2
pasta bolognese,,71474,http://localhost:3000/recipe/71474,2
pasta bolognese,,518712,http://localhost:3000/recipe/518712,2
